あなたが出品者・ショップをフォローする理由や、フォローした出品者・ショップを確認する目的について、できるだけ詳しくお書きください。（任意回答）,あなたは、ビデオ通話に参加するために必要なWebカメラやマイクをお持ちですか。※ パソコンに内蔵されているものも含みます,Buyer segment,あなたの職業として当てはまるものを一つだけお選びください。※職業が複数ある方は、主な収入源となっている職業をお選びください,お客さまインタビューへの参加が可能な日時をできるだけ選択してください。※インタビューへのご参加をお願いする場合、こちらの回答を参考にスケジュールを調整させていただきます,Follow segment,メルカリで検索条件を保存する機能やフォロー機能について、あなたのお買い物における重要度として最も当てはまるものをそれぞれお選びください。,YouTubeの登録チャンネルタブ（自分がフォローしているチャンネルの新着一覧などが表示されている画面）を見る頻度として最も当てはまるものを一つお選びください。,あなたが「いいね！」タブ（※）を見る頻度として、最も当てはまるものを一つお選びください。※「いいね！」タブとは、メルカリアプリ左下の「いいね！」ボタンをタップした時に出てくる画面（画像参照）のことを指します。,メルカリで検索条件を保存する機能やフォロー機能について、あなたのお買い物における利用状況として最も当てはまるものをそれぞれお選びください。,今までに、フォローしている出品者からフォロー後に商品を購入したことは何回ありますか。最も当てはまるものを一つお選びください。,あなたの年代をお選びください。,あなたの性別をお選びください。,あなたがお住まいの都道府県をお選びください。,インタビューの中で、途中あなたのスマートフォンからメルカリアプリの画面と操作のご様子を画面共有いただきながらお話を伺うことは可能ですか。,フォロー機能を前問で回答した目的で利用する頻度として、当てはまるものをそれぞれ一つお選びください。,この度の調査では後日、「Google Meet」を利用し、ビデオ通話にてインタビューをさせていただく可能性があります。あなたは、ビデオ通話でのインタビューにご参加いただくことは可能ですか？,respondent_id,上記以外の日程のインタビュー実施時に、日程調整のご連絡をしてよろしいですか？
,,1.Buyer Super heavy,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,その他,,,いいえ,119075554424.0,
,持っている,2.Buyer Heavy,会社員（正社員）,,1.Follow Super Heavy (80+),どちらでもない,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,男性,大阪府,はい,,はい,119075552711.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,その他,はい,ときどきある,はい,119075550477.0,はい
,持っている,1.Buyer Super heavy,その他,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,60代,女性,その他,はい,,はい,119075551630.0,はい
,持っている,2.Buyer Heavy,会社員（正社員）,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,東京都,はい,ときどきある,はい,119075548432.0,はい
,持っている,1.Buyer Super heavy,自営業・フリーランス,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,,50代,男性,愛知県,はい,,はい,119075551786.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,男性,東京都,はい,,はい,119075552448.0,はい
,持っていない,2.Buyer Heavy,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,50代,男性,その他,はい,たまにある,はい,119075553630.0,はい
その他,持っている,3.Buyer Middle,自営業・フリーランス,,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,男性,大阪府,いいえ,,はい,119075549102.0,はい
その他,持っている,4.Buyer Light,その他,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,男性,神奈川県,はい,,はい,119075543652.0,はい
その他,持っている,1.Buyer Super heavy,その他,,3.Follow Middle (18-34),非常に重要である,"2,3日に1回くらい見る","2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,はい,ときどきある,はい,119075547323.0,はい
,,1.Buyer Super heavy,自営業・フリーランス,,4.Follow Light (1-17),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,男性,千葉県,,,いいえ,119075552894.0,
,持っていない,2.Buyer Heavy,パート・アルバイト,,3.Follow Middle (18-34),非常に重要である,,"2,3日に1回くらい見る",現在利用している,,20代,男性,その他,はい,,はい,119075548064.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,男性,愛知県,はい,,はい,119075550405.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,東京都,はい,,はい,119075541269.0,はい
,持っている,4.Buyer Light,自営業・フリーランス,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,20代,男性,その他,はい,,はい,119075549383.0,はい
その他,持っている,3.Buyer Middle,パート・アルバイト,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,東京都,はい,ときどきある,はい,119075545347.0,はい
その他,,1.Buyer Super heavy,学生（大学生・大学院生・専門学生）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,その他,女性,その他,,非常によくある,いいえ,119075551300.0,
,持っている,3.Buyer Middle,専業主婦・主夫,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,その他,いいえ,,はい,119075550950.0,はい
,持っている,4.Buyer Light,その他,10:00-11:00,1.Follow Super Heavy (80+),ある程度重要である,,1週間に1回くらい見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,千葉県,はい,たまにある,はい,119075547871.0,はい
その他,,2.Buyer Heavy,パート・アルバイト,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,女性,千葉県,,非常によくある,いいえ,119075540596.0,
その他,持っている,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,50代,男性,東京都,はい,たまにある,はい,119075543512.0,はい
,持っている,4.Buyer Light,専業主婦・主夫,,3.Follow Middle (18-34),その他,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,東京都,はい,,はい,119075547160.0,はい
,持っている,2.Buyer Heavy,その他,10:00-11:00,4.Follow Light (1-17),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,,40代,男性,その他,はい,,はい,119075545613.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,10:00-11:00,2.Follow Heavy (35-79),ある程度重要である,"2,3日に1回くらい見る",1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,東京都,はい,,はい,119075533519.0,はい
,持っている,2.Buyer Heavy,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,"2,3日に1回くらい見る",現在利用している,,20代,女性,愛知県,はい,,はい,119075548143.0,はい
その他,持っていない,3.Buyer Middle,その他,,1.Follow Super Heavy (80+),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から合計5回以上購入している,60代,女性,その他,はい,非常によくある,はい,119075541995.0,はい
その他,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,その他,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,東京都,はい,,はい,119075546564.0,はい
その他,持っている,2.Buyer Heavy,専業主婦・主夫,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,女性,東京都,はい,非常によくある,はい,119075535367.0,はい
,持っていない,2.Buyer Heavy,自営業・フリーランス,10:00-11:00,1.Follow Super Heavy (80+),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,東京都,はい,非常によくある,はい,119075545574.0,はい
その他,持っていない,2.Buyer Heavy,パート・アルバイト,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,その他,はい,たまにある,はい,119075515268.0,はい
,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,10:00-11:00,4.Follow Light (1-17),ある程度重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,その他,男性,その他,はい,,はい,119075544950.0,はい
,持っている,2.Buyer Heavy,自営業・フリーランス,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,,40代,男性,東京都,はい,,はい,119075544132.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,女性,その他,はい,たまにある,はい,119075535713.0,はい
その他,持っていない,3.Buyer Middle,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,その他,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,男性,その他,はい,,はい,119075537509.0,はい
,持っている,3.Buyer Middle,会社員（正社員）,,1.Follow Super Heavy (80+),,,1日に1回以上見る,その他,,40代,男性,神奈川県,はい,,はい,119075541951.0,はい
その他,持っている,1.Buyer Super heavy,その他,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,東京都,はい,ときどきある,はい,119075530234.0,はい
その他,持っている,3.Buyer Middle,専業主婦・主夫,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,女性,その他,はい,ときどきある,はい,119075493579.0,はい
,持っていない,3.Buyer Middle,自営業・フリーランス,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,男性,東京都,はい,,はい,119075536870.0,はい
,持っている,2.Buyer Heavy,専業主婦・主夫,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から商品を購入したことはない,30代,女性,その他,いいえ,たまにある,はい,119075538279.0,はい
,持っている,1.Buyer Super heavy,自営業・フリーランス,10:00-11:00,1.Follow Super Heavy (80+),どちらでもない,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,東京都,はい,ときどきある,はい,119075539094.0,はい
その他,持っている,3.Buyer Middle,専業主婦・主夫,,4.Follow Light (1-17),ある程度重要である,,"2,3日に1回くらい見る",その他,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,女性,その他,はい,ときどきある,はい,119075534077.0,はい
その他,持っている,1.Buyer Super heavy,専業主婦・主夫,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,その他,はい,非常によくある,はい,119075528797.0,はい
その他,持っている,2.Buyer Heavy,パート・アルバイト,,1.Follow Super Heavy (80+),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,その他,はい,,はい,119075530801.0,はい
その他,持っている,4.Buyer Light,その他,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,その他,はい,,はい,119075528315.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,その他,はい,非常によくある,はい,119075525389.0,はい
その他,持っている,1.Buyer Super heavy,パート・アルバイト,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,東京都,はい,ときどきある,はい,119075531961.0,はい
その他,持っている,1.Buyer Super heavy,学生（大学生・大学院生・専門学生）,,4.Follow Light (1-17),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から商品を購入したことはない,その他,女性,その他,はい,,はい,119075528907.0,はい
その他,持っている,4.Buyer Light,その他,,1.Follow Super Heavy (80+),ある程度重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,神奈川県,はい,非常によくある,はい,119075521290.0,はい
その他,持っている,1.Buyer Super heavy,自営業・フリーランス,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,男性,神奈川県,はい,,はい,119075531832.0,はい
その他,持っている,4.Buyer Light,自営業・フリーランス,10:00-11:00,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,その他,大阪府,はい,,はい,119075529331.0,はい
,持っている,3.Buyer Middle,学生（大学生・大学院生・専門学生）,10:00-11:00,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,その他,男性,その他,はい,,はい,119075527014.0,はい
,持っていない,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,男性,その他,はい,,はい,119075527789.0,はい
その他,持っていない,2.Buyer Heavy,パート・アルバイト,,4.Follow Light (1-17),その他,,1週間に1回くらい見る,その他,フォローしている同じ出品者から合計5回以上購入している,60代,女性,神奈川県,はい,非常によくある,はい,119075520894.0,はい
その他,持っている,2.Buyer Heavy,その他,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,はい,非常によくある,はい,119075513497.0,はい
,持っていない,1.Buyer Super heavy,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,男性,その他,いいえ,,はい,119075527388.0,はい
その他,持っている,2.Buyer Heavy,専業主婦・主夫,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,その他,はい,ときどきある,はい,119075522997.0,はい
,持っている,2.Buyer Heavy,専業主婦・主夫,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,"2,3日に1回くらい見る",1日に1回以上見る,現在利用している,,50代,女性,東京都,はい,,はい,119075518678.0,はい
その他,持っている,1.Buyer Super heavy,その他,,2.Follow Heavy (35-79),その他,,1日に1回以上見る,過去に利用していたが現在は使っていない,フォローしている同じ出品者から合計5回以上購入している,50代,女性,その他,はい,非常によくある,はい,119075519171.0,はい
その他,持っていない,2.Buyer Heavy,その他,,4.Follow Light (1-17),ある程度重要である,,その他,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,男性,その他,はい,,はい,119075519415.0,はい
,持っている,4.Buyer Light,専業主婦・主夫,10:00-11:00,4.Follow Light (1-17),,,"2,3日に1回くらい見る",その他,,30代,女性,神奈川県,はい,,はい,119075518168.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,その他,はい,,はい,119075521097.0,はい
その他,持っている,4.Buyer Light,専業主婦・主夫,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,東京都,はい,非常によくある,はい,119075512471.0,はい
その他,持っている,1.Buyer Super heavy,自営業・フリーランス,,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,男性,東京都,はい,ときどきある,はい,119075520718.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),ある程度重要である,,その他,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,20代,女性,その他,はい,,はい,119075520860.0,はい
その他,持っている,4.Buyer Light,自営業・フリーランス,,4.Follow Light (1-17),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,その他,はい,非常によくある,はい,119075511812.0,はい
その他,持っている,1.Buyer Super heavy,学生（大学生・大学院生・専門学生）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,その他,女性,東京都,はい,ときどきある,はい,119075512920.0,はい
その他,持っている,2.Buyer Heavy,自営業・フリーランス,,1.Follow Super Heavy (80+),非常に重要である,,1週間に1回くらい見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,その他,はい,非常によくある,はい,119075507744.0,はい
その他,持っていない,1.Buyer Super heavy,自営業・フリーランス,,3.Follow Middle (18-34),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,その他,はい,,はい,119075514137.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,10:00-11:00,4.Follow Light (1-17),その他,,1日に1回以上見る,過去に利用していたが現在は使っていない,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,東京都,はい,その他,はい,119075509127.0,はい
その他,持っている,1.Buyer Super heavy,その他,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,東京都,はい,,はい,119075515880.0,はい
,持っている,1.Buyer Super heavy,その他,,3.Follow Middle (18-34),ある程度重要である,,1週間に1回くらい見る,現在利用している,,40代,女性,神奈川県,はい,,はい,119075514362.0,はい
その他,持っている,1.Buyer Super heavy,その他,,2.Follow Heavy (35-79),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,男性,その他,はい,非常によくある,はい,119075505769.0,はい
その他,持っていない,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている出品者から商品を購入したことはない,50代,女性,大阪府,はい,,はい,119075508321.0,はい
その他,持っている,2.Buyer Heavy,パート・アルバイト,,1.Follow Super Heavy (80+),非常に重要である,"2,3日に1回くらい見る",1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,愛知県,はい,,はい,119075514407.0,はい
,持っている,2.Buyer Heavy,その他,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から商品を購入したことはない,30代,女性,東京都,はい,,はい,119075513820.0,はい
その他,持っている,3.Buyer Middle,その他,,4.Follow Light (1-17),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から商品を購入したことはない,40代,男性,東京都,はい,,はい,119075512162.0,はい
,持っている,4.Buyer Light,その他,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,その他,はい,非常によくある,はい,119075514882.0,はい
その他,持っている,4.Buyer Light,パート・アルバイト,,4.Follow Light (1-17),その他,,その他,過去に利用していたが現在は使っていない,フォローしている出品者から商品を購入したことはない,30代,女性,東京都,はい,,はい,119075507995.0,はい
,持っている,4.Buyer Light,その他,,2.Follow Heavy (35-79),どちらでもない,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,男性,その他,はい,,はい,119075512346.0,はい
その他,,4.Buyer Light,その他,,4.Follow Light (1-17),その他,その他,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,その他,女性,その他,,,いいえ,119075502258.0,
,,2.Buyer Heavy,パート・アルバイト,,1.Follow Super Heavy (80+),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,女性,東京都,,,いいえ,119075514198.0,
その他,持っている,3.Buyer Middle,その他,10:00-11:00,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,その他,はい,,はい,119075510787.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),その他,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,20代,男性,東京都,はい,,はい,119075509544.0,はい
その他,持っている,3.Buyer Middle,自営業・フリーランス,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,"2,3日に1回くらい見る","2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,男性,その他,はい,非常によくある,はい,119075883666.0,はい
その他,持っている,4.Buyer Light,パート・アルバイト,,2.Follow Heavy (35-79),ある程度重要である,1日に1回以上見る,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,20代,男性,大阪府,はい,ときどきある,はい,119075807175.0,はい
その他,持っている,2.Buyer Heavy,専業主婦・主夫,10:00-11:00,4.Follow Light (1-17),ある程度重要である,"2,3日に1回くらい見る",1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,女性,東京都,はい,,はい,119075637675.0,はい
,持っている,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,50代,女性,東京都,はい,その他,はい,119075509290.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,男性,その他,はい,非常によくある,はい,119075498551.0,はい
,持っている,1.Buyer Super heavy,パート・アルバイト,,1.Follow Super Heavy (80+),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,男性,その他,はい,非常によくある,はい,119075510653.0,はい
,持っている,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,東京都,はい,,はい,119075510471.0,はい
その他,持っている,2.Buyer Heavy,パート・アルバイト,,3.Follow Middle (18-34),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,その他,はい,非常によくある,はい,119075501119.0,はい
,持っている,1.Buyer Super heavy,専業主婦・主夫,10:00-11:00,4.Follow Light (1-17),,,1日に1回以上見る,過去に利用していたが現在は使っていない,,20代,女性,神奈川県,はい,,はい,119075507706.0,はい
その他,持っている,2.Buyer Heavy,自営業・フリーランス,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,女性,その他,はい,,はい,119075502184.0,はい
その他,持っている,1.Buyer Super heavy,パート・アルバイト,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,女性,その他,はい,非常によくある,はい,119075497179.0,はい
その他,持っている,1.Buyer Super heavy,自営業・フリーランス,10:00-11:00,1.Follow Super Heavy (80+),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,愛知県,はい,,はい,119075499527.0,はい
その他,持っている,2.Buyer Heavy,その他,,1.Follow Super Heavy (80+),非常に重要である,,その他,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,はい,,はい,119075498034.0,はい
その他,持っていない,1.Buyer Super heavy,自営業・フリーランス,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,神奈川県,はい,,はい,119075500076.0,はい
その他,持っていない,1.Buyer Super heavy,パート・アルバイト,,1.Follow Super Heavy (80+),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,男性,東京都,はい,,はい,119075472129.0,はい
,持っている,3.Buyer Middle,会社員（正社員）,,3.Follow Middle (18-34),ある程度重要である,,その他,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,その他,男性,その他,はい,,はい,119075501252.0,はい
その他,持っていない,1.Buyer Super heavy,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,"2,3日に1回くらい見る",1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,女性,神奈川県,はい,非常によくある,はい,119075496246.0,はい
,持っている,3.Buyer Middle,その他,10:00-11:00,4.Follow Light (1-17),非常に重要である,"2,3日に1回くらい見る",その他,現在利用している,,30代,男性,その他,はい,,はい,119075499813.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,20代,男性,その他,はい,,はい,119075501279.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,男性,その他,はい,非常によくある,はい,119075498603.0,はい
その他,持っている,3.Buyer Middle,パート・アルバイト,,1.Follow Super Heavy (80+),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,神奈川県,はい,ときどきある,はい,119075496087.0,はい
,持っている,4.Buyer Light,パート・アルバイト,,2.Follow Heavy (35-79),ある程度重要である,,その他,現在利用している,フォローしている同じ出品者から合計5回以上購入している,20代,女性,愛知県,はい,,はい,119075502094.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,その他,はい,ときどきある,はい,119075496153.0,はい
